	5QBDM2ESPNATXXX0494	5QBDM2ESPPOOBXX0490	BR5r-M2-ESP-POO-B-XX-1621	BR5rM2ESPNATXXX1625	MvvQ-M2-ESP-POO-A-XX-1616	MvvQM2ESPNATXXX1620	TZEpM2ESPNATXXX0504	TZEpM2ESPPOOAXX0500
Streptomyces.rutgersensis	12490	4908	17407	9010	8098	6659	3086	4813
Streptomyces.fagopyri	11498	4425	15933	7591	7661	6405	2683	3946
Streptomyces.vinaceus	11203	5452	19968	9640	9012	7405	3292	5138
Streptomyces.qinzhouensis	10394	4321	15064	7324	7066	5607	2328	3920
Streptomyces.huasconensis	11306	4862	16371	8581	7814	6560	2693	4368
Streptomyces.kanamyceticus	11055	5602	18422	9444	9151	7023	2982	4662
Streptomyces.finlayi	10080	3786	13862	6737	6767	5117	2335	3701
Streptomyces.gardneri	11126	5051	18108	8859	8714	6903	2990	4694
Streptomyces.gilvosporeus	10150	4757	17772	8543	8376	6628	3013	4643
Streptomyces.inhibens	9556	4815	17355	7900	8022	6235	2743	4226
Streptomyces.mobaraensis	247340	136063	503230	262063	240083	204900	89749	128984
Streptomyces.angustmyceticus	9249	4682	17006	8628	7859	6569	2860	4399
Streptomyces.nojiriensis	9336	4666	16799	8194	7724	6233	2725	4273
Streptomyces.fradiae	88701	9554	33610	18781	16710	14536	6455	9121
Streptomyces.gobiensis	7778	3332	12828	5921	6497	4756	2156	3376
Streptomyces.olivaceus	17743	4293	14850	7579	7373	5606	2283	4221
Streptomyces.coelicolor	18246	3731	15583	7809	7002	5588	2573	5105
Streptomyces.albidoflavus	16943	7249	26176	13253	12160	9417	4125	7323
Streptomyces.sampsonii	4801	1923	7742	3785	3446	2599	1129	1965
Streptomyces.alfalfae	24631	6129	20872	11263	11022	8484	3257	5806
Streptomyces.antimycoticus	7425	3022	10926	5268	6090	4223	1771	2930
Streptomyces.decoyicus	5259	2689	10030	4842	4585	3789	1769	2500
Streptomyces.lydicamycinicus	5062	2436	9396	4491	4158	3458	1552	2333
Streptomyces.auratus	5002	2454	9388	4852	4336	3616	1622	2545
Streptomyces.xiamenensis	5092	2647	9459	4653	4336	3380	1499	2568
Streptomyces.platensis	4678	2377	8512	4208	4119	3298	1490	2188
Streptomyces.filamentosus	4380	2231	8065	3867	3645	2848	1198	2141
Streptomyces.griseofuscus	10092	2847	10111	5097	5439	4037	1717	2677
Streptomyces.rubrolavendulae	14267	1675	6805	3684	3434	3090	1325	1984
Streptomyces.cavourensis	5014	2608	8531	4375	3909	3192	1384	2310
Streptomyces.californicus	7139	3845	13270	6398	6258	4710	1839	3208
Streptomyces.lividans	14768	3702	16530	7361	6485	5699	2078	3432
Streptomyces.mirabilis	9917	3944	15001	6499	7213	5448	2296	3634
Streptomyces.murinus	4705	1986	7156	3510	3506	3026	1214	1887
Streptomyces.cinereoruber	5676	2131	7259	3687	3854	4014	1324	2484
Streptomyces.albireticuli	4258	2324	8381	4061	3834	3210	1139	2223
Streptomyces.scabiei	7964	2805	10167	5210	5770	3647	1730	2924
Streptomyces.autolyticus	3470	1905	6949	3273	3120	2518	1250	1745
Streptomyces.noursei	3238	1928	7338	3304	4416	2499	1234	1943
Streptomyces.violaceoruber	2532	1483	5683	2768	2400	2009	840	1424
Streptomyces.rochei	3808	1531	6100	2341	2893	2048	0	1355
Kitasatospora.sp..MMS16.BH015	13755	9023	33857	16641	15293	12588	5647	8259
Kitasatospora.sp..NA04385	14057	8309	32093	16275	14626	12458	5503	8054
Kitasatospora.setae	13867	8532	32667	16706	15187	12920	5591	8322
Kitasatospora.aureofaciens	10832	6553	24794	12601	11448	9492	4192	6392
Kitasatospora.albolonga	6027	3469	13425	6912	6468	5411	2218	3513
Streptacidiphilus.sp..P02.A3a	13186	8011	30265	15220	14073	12074	5065	7640
Streptacidiphilus.sp..PB12.B1b	12125	7527	29011	14438	13127	10875	4796	7127
Streptacidiphilus.bronchialis	10880	6546	25326	12053	11441	9475	4009	6344
Yinghuangia.sp..ASG.101	14959	8663	31177	15015	15437	11552	4876	8168
Microbacterium.sp..4R.513	10207	4150	13616	7014	6175	6332	2443	4636
Microbacterium.sp..No..7	10557	6236	21444	11035	10097	8868	3856	6756
Microbacterium.sp..10M.3C3	8868	4286	14320	7697	6669	6853	2659	5042
Microbacterium.sp..JZ31	7857	5227	14483	7450	6644	6522	2651	6309
Microbacterium.sp..YJN.G	6968	3603	11949	5715	5042	4792	1999	4387
Microbacterium.sp..ABRD_28	5500	2648	8973	4537	4214	4387	1594	3327
Microbacterium.sp..SSW1.51	5937	3609	11689	6114	5483	4947	2020	4454
Microbacterium.sp..BH.3.3.3	5452	2997	10437	5354	4965	4443	1774	3613
Microbacterium.sp..XT11	5032	2894	9648	4582	4056	3746	1610	3488
Microbacterium.sp..SSW1.36	4838	3024	9198	4651	4170	3747	1492	3897
Microbacterium.sp..A18JL241	4722	3033	9120	4123	3651	3358	1367	3660
Microbacterium.sp..NIBRBAC000506063	5069	3002	9864	4795	4638	3863	1654	3419
Microbacterium.sp..H1.D42	4452	2486	8523	4020	3691	3242	1450	3145
Microbacterium.sp..LKL04	4583	3074	8204	4090	3671	3417	1401	4203
Microbacterium.sp..Y.01	5134	2896	9912	5182	4406	4086	1665	3594
Microbacterium.sp..cx.55	4050	2235	7502	3967	3426	3209	1420	2527
Microbacterium.sp..PM5	4035	2261	8119	3847	3594	3232	1306	2591
Microbacterium.sp..CBA3102	3741	2290	7470	3672	3298	2925	1213	2731
Microbacterium.sp..1S1	4329	2519	7995	4426	3881	3411	1453	3237
Microbacterium.sp..TPU.3598	3563	2151	7435	3501	3338	2819	1176	2467
Microbacterium.sp..Nx66	4157	2542	7958	4091	3795	3244	1522	3121
Microbacterium.sp..RG1	2521	1515	5136	2515	2403	2131	866	1509
Microbacterium.sp..CGR1	5584	2721	7146	5352	4466	4258	1934	3560
Microbacterium.sp..1.5R	5331	3382	7292	4889	4819	3790	1650	3263
Microbacterium.sp..SGAir0570	2603	1620	4884	2691	2286	2012	821	3160
Microbacterium.sp..PAMC22086	1844	1123	3570	1744	1794	1570	655	1316
Microbacterium.sp..str...China.	2424	1603	4572	2612	2158	2059	928	2235
Microbacterium.sp..PAMC.28756	2859	1660	5692	3104	2734	2393	0	2334
Microbacterium.cremeum	67221	8724	22759	9841	7814	13143	3078	8054
Microbacterium.atlanticum	19345	4516	14419	7538	6196	7715	2566	5591
Microbacterium.hominis	34131	15460	51811	27582	24124	23403	9912	16848
Microbacterium.foliorum	10040	5956	21136	9960	9277	7933	3412	6891
Microbacterium.oleivorans	8942	5354	17209	8718	7775	7000	2852	7137
Microbacterium.lemovicicum	7292	3644	12406	6489	5784	5374	2265	4014
Microbacterium.sediminis	7360	4389	15372	7467	7031	6079	2536	4736
Microbacterium.resistens	6225	4698	13564	6707	6227	5384	2374	4326
Microbacterium.pygmaeum	5989	2796	9354	4505	4233	4156	1653	3072
Microbacterium.oryzae	6186	4878	13131	6555	5816	5363	2289	7314
Microbacterium.testaceum	5541	2998	10714	5512	4797	4448	1895	3502
Microbacterium.wangchenii	5646	2910	10167	5366	4680	4419	1682	3347
Microbacterium.aurum	5676	3016	9940	5286	4364	4231	1724	3535
Microbacterium.lushaniae	5407	2795	9956	5100	4370	4302	1735	3176
Microbacterium.chocolatum	5257	2563	8693	4586	3973	3843	1641	3046
Microbacterium.luteum	5704	3056	10261	5368	4608	4399	1862	3476
Microbacterium.caowuchunii	4982	2647	9258	4802	4493	4210	1668	3054
Microbacterium.esteraromaticum	4695	3606	9431	4415	3904	3904	1708	4098
Microbacterium.protaetiae	4253	2544	8760	4272	4040	3387	1415	2665
